seed,strategy,eval_noise,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,TFT,0.0,common_field,Tit For Tat,2000000000000,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000001,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000002,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000003,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000004,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000005,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000006,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000007,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000008,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000009,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000010,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000011,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000012,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000013,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000014,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000015,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000016,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000017,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000018,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Tit For Tat,2000000000019,3.0,3.0,1.0,1.0,1.0
0,TFT,0.0,common_field,Always Defect,2000000000000,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000001,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000002,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000003,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000004,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000005,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000006,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000007,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000008,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000009,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000010,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000011,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000012,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000013,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000014,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000015,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000016,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000017,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000018,0.9875,1.05,0.0125,0.0,0.0
0,TFT,0.0,common_field,Always Defect,2000000000019,0.9875,1.05,0.0125,0.0,0.0
